"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789819760122708287","Mon May 13 00:47:38 +0000 2024","1","Apapun alasannya narkoba bukanlah pilihan sebagai teman untuk berkarya. Begadang? Jika lelah ya kita butuh tidur! Bukan Shabu! Aktif dan energik? Kita butuh makanan dan pola hidup yang sehat! Bukan ganja ataupun ekstasi! Frustasi dan kesepian? Kita butuh Tuhan! Bukan narkoba!! https://t.co/fey7kA6C1v","1789819760122708287","https://pbs.twimg.com/media/GNa3gpqboAACaeg.jpg","","in","Kendari, Indonesia","0","0","0","https://twitter.com/BnnKendari/status/1789819760122708287","1189355043176120320","BnnKendari"
"1789817304575799370","Mon May 13 00:37:53 +0000 2024","0","Dalam kunjungan tidak terjadwalnya Presiden Joko Widodo menyapa warga Kota Kendari Provinsi Sulawesi Tenggara di pusat perbelanjaan The Park pada Minggu malam 12 Mei 2024. Kehadiran Presiden Jokowi yang tiba sekitar pukul 19.00 WITA. https://t.co/DN5pAiYXhI","1789817304575799370","","","in","","0","0","0","https://twitter.com/SultraPpid/status/1789817304575799370","1430429308120494080","SultraPpid"
"1789813098208952542","Mon May 13 00:21:10 +0000 2024","0","Presiden Joko Widodo (Jokowi) mengunjungi Pusat Perbelanjaan The Park di Kendari Sulawesi Tenggara bersama para menteri pada Minggu malam. Warga sangat antusias menyambut kedatangan Jokowi. https://t.co/2zznbDXZBY","1789813098208952542","","","in","","0","0","0","https://twitter.com/tinusflip/status/1789813098208952542","704238913158782977","tinusflip"
"1789807632573739076","Sun May 12 23:59:27 +0000 2024","6","Presiden Joko Widodo (Jokowi) mengunjungi Pusat Perbelanjaan The Park di Kendari Sulawesi Tenggara bersama para menteri pada Minggu malam. https://t.co/dQIawPGv0Y","1789807632573739076","","","in","","0","4","1","https://twitter.com/detikcom/status/1789807632573739076","69183155","detikcom"
"1789802485022138426","Sun May 12 23:39:00 +0000 2024","1","Koridor RSUD Kendari Minim Penerangan dan Bangku Pembesuk *BACA SELENGKAPNYA DISINI* ⬇️⬇️⬇️ https://t.co/4rTIfKLA6U","1789802485022138426","","","in","Indonesia","0","0","0","https://twitter.com/telisik_id/status/1789802485022138426","1234774867704049664","telisik_id"
"1789619876975505867","Sun May 12 23:35:59 +0000 2024","1","@orchidpoison Familymart ga mau buka di kendari kh? @FamilyMart_ID","1789801728097001732","","orchidpoison","in","Indonesia","0","0","0","https://twitter.com/heiituu/status/1789801728097001732","79870320","heiituu"
"1789790340914045410","Sun May 12 22:50:44 +0000 2024","1","Presiden Jokowi menyapa masyarakat di sela kunjungan kerjanya di Kendari serta membagikan kaos di Mall The Park Kendari. #presidenjokowi #Kendari #SulawesiTenggara https://t.co/IwDxtWt3u4","1789790340914045410","","","in","Sulawesi Tengah, Indonesia","0","0","0","https://twitter.com/gemasulawesi/status/1789790340914045410","1085760348798410753","gemasulawesi"
"1789776693625749989","Sun May 12 21:56:30 +0000 2024","0","Midnight thoughts Suami gue pernah kerja ditambang di kendari pernah ngurusin event keliling indo jg bahkan di tahun 2017-2019 gaji dia 2 digit. Gatau diotak dia apa dulu sampe tahun ini jadi separah ini. Mau bilang idup ga adil jatuh guling2 keinjek sampe titik ini tapi..","1789776693625749989","","","in","","0","1","0","https://twitter.com/ichahaho/status/1789776693625749989","869938873480105984","ichahaho"
"1789724723699687709","Sun May 12 18:30:00 +0000 2024","3","Presiden Joko Widodo membagikan baju kaos berwarna hitam kepada para pengunjung Mall The Park Kendari saat melakukan kunjungan kerja. https://t.co/pmGh6Rjkv6","1789724723699687709","","","in","NKRI","0","0","0","https://twitter.com/antaranews/status/1789724723699687709","18071520","antaranews"
"1789313084177436964","Sun May 12 16:29:11 +0000 2024","0","Kendari https://t.co/GT6rOcKtnO","1789694321555616221","https://pbs.twimg.com/media/GNZFfvSa0AAJ1q_.jpg","isrlstr","in","","0","0","0","https://twitter.com/isrlstr/status/1789694321555616221","251514498","isrlstr"
"1789562387663872492","Sun May 12 16:29:05 +0000 2024","0","@antaranews Keknya lintingan om albert dr kendari nih dirjen nya","1789694293000827187","","antaranews","in","","0","0","0","https://twitter.com/Arfannn1/status/1789694293000827187","979002399275679744","Arfannn1"
"1789688934194405558","Sun May 12 16:07:47 +0000 2024","1","Ready pijat pria dan wanita privasi dijamin aman #pijatkendari #gaykendari #gigolokendari #pijatpriakendari https://t.co/NxomqPyGhn","1789688934194405558","https://pbs.twimg.com/media/GNZAmfYaMAAnRwq.jpg","","in","","0","0","0","https://twitter.com/msg_kendari28/status/1789688934194405558","767648668065210368","msg_kendari28"
"1789683850723098724","Sun May 12 15:47:35 +0000 2024","1","Kendari 12/05 -- PAM VVIP RI 1 dalam kunjungan kerja di Provinsi Sulawesi Tenggara #haripertama #basarnaskendari #rescuer304 #humassar304 https://t.co/FxR4kalHBu","1789683850723098724","https://pbs.twimg.com/media/GNY7-chaIAA9T0x.jpg","","in","kendari","0","0","0","https://twitter.com/HumasSARKendari/status/1789683850723098724","712502824030965760","HumasSARKendari"
